word,description
emperor,n. 皇帝；君主
exact,a. 精确的；准确的
traditional,a. 传统的，惯例的；口传的，传说的
lack,n./vt. 缺乏，不足，没有
pardon,excl. （用于请求别人重复某事）什么，请再说一遍 n./vt. 原谅，宽恕；赦免
regent,n. 摄政者（代国王统治者）
burgeon,vi. 迅速成长；发展
argue,v. 争论；说服
barely,ad. 仅仅，几乎不；赤裸裸地，无遮蔽地
methane,n. 甲烷，沼气
hierarchy,n. 领导层；层次，等级
guidance,n. 指引，指导
easy-going,a. 脾气随和的，心平气和的；随便的
electrical,a. 电的，电学的，有关电的
electronic,a. 电子的
roll film,胶卷
philosophy,n. 哲学；哲理
chronic,a. （疾病）慢性的；积习难改的
desirable,a. 值得拥有的；合意的；可取的，有利的
consortium,n. 集团；财团；社团，协会
buckle,n. 皮带扣环 v. 扣紧；（使）变形；弯曲
curry,n. 咖喱，咖喱饭菜 vt. 把（肉、蔬菜等）做成咖喱食品；梳刷（马毛等）
subliminal,a. 下意识的，潜意识的
chamber,n. 室；洞穴；（枪）膛
frequent,a. 频繁的，常见的，常用的
prosperous,a. 繁荣的，兴旺的；成功的
purpose,n. 目的，意图；用途，效果 v. 打算，企图，决心
variety,n. 品种，种类；变化，多样化
immigration,n. 外来的移民；移居
natural,a. 正常的，普通的，自然的；自然界的，天然的；天赋的，固有的
bet,v. 赌，打赌 n. 打赌，赌注
consumer,n. 消费者；用户
physician,n. 内科医生，医师
equal,a. 相等的 vt. 比得上
resort,n. 求助；诉诸；胜地 vi. 求助；诉诸
leadership,n. 领导，领导层；领导能力
equity,n. 公平，公正
excavate,vt. 挖掘，开凿
nuclear,a. 核能的，原子能的
mutual,a. 相互的；共同的
hectare,n. 公顷
density,n. 密集；浓度，密度
massive,a. 大而重的，厚实的，粗大的；大量的，大规模的
congratulate,vt. 祝贺
companion,n. 共事者；同伴
rig,vt. 操纵，垄断 n. 船桅（或船帆等）的装置；成套器械
input,n. 投入，输入；输入的数据 vt. 把…输入计算机
merely,ad. 仅仅，只不过
impart,vt. 给予，赋予；传授；告知，透露
forfeit,v. （因犯规等而）丧失，失去 n. 罚款；代价
calorie,n. 卡（路里），大卡（食物的热量）
van,n. 运货车
ventilation,n. 空气流通；通风设备，通风方法
intermediate,a. 中间的，中级的
eternal,a. 永恒的
invasion,n. 入侵，侵略
nevertheless,ad. 仍然；然而 conj. 然而，不过
celebrate,v. 赞扬，歌颂；庆祝
inspiring,a. 鼓舞（或激励）人心的；启发灵感的
attendance,n. 到场，出席；出勤；伺候，照料
optional,a. 可选择的，非强制的，随意的
enable,vt. 使能够，使成为可能
departmental,a. 部门的
heal,v. 治愈，康复；调停
dismantle,vt. 拆除；废除，取消
wage,n. 工资；［常pl.］报酬
landscape,n. 风景 vt. 对…作景观美化，美化（自然环境等）
emotion,n. 感情；情绪
commonwealth,n. ［the C-］英联邦；联合体
newsletter,n. 时事通讯，业务通讯
periodical,n. 期刊，杂志 a. 周期的，定期的
receptionist,n. 接待员
security,n. 安全，保障；抵押品；［pl.］证券
clip,n. （弹簧）夹子，回形针，别针；弹夹；修剪；剪报，电影（或电视）片断 v. （用夹子、回形针等）夹住，扣住；剪，修剪
apace,ad. 快速地，急速地
yield,n. 产量 v. 出产；放弃
fair,a./ad. 公平的／地
regional,a. 局部范围的；地方（性）的，区域性的；全地区的，整个地区的
secure,v. 得到某物，获得；防护，保卫 a. 安全的；可靠的，放心的
preserve,vt. 保护；维持；保存，保藏；腌渍
reject,［riˈʤekt］vt. 拒绝［ˈri:ʤekt］n. 被拒货品，不合格品
code,n. 密码；代码 vt. 把…编码
seek,v. 寻找；探索；追求
item,n. 条款，项目；（新闻等）一则
crown,n. 王冠；花冠；齿冠
effort,n. 努力，艰难的尝试；成就
point,n. 尖，尖端；点，小数点；条款，细目；分数，得分；要点，论点，观点 v. 指，指向；表明；瞄准
review,vt. 回顾；复习；评论 n. 回顾；评论
fabrication,n. 捏造，伪造；制作；构成
series,n. 一系列，连续；丛书
variation,n. 变化，变动；变种，变异；变更；变奏
margin,n. 差额，差距；页边空白；边缘；余地；幅度 v. 加旁注于；加边于
distraction,n. 分散注意力的事；使人分心的事；娱乐，消遣
complicate,vt. 使变复杂
tram,n. 有轨电车，电车轨道 v. 乘电车
maturity,n. 成熟；完善，完备，准备就绪；到期（应付款）
download,v. 下载
refer,v. 参考，查阅，查询；提到，谈及；引用；提交，上呈
interview,v./n. 接见，会见；采访；面试
extent,n. 范围；面积；广度，长度；程度
evacuate,v. 疏散；撤离
stint,n. 定量；限额
embankment,n. 筑堤；堤岸，路基
squash,n. 软式墙网球，壁球 v. 压碎，挤压；挤进，塞入；镇住，镇压；制止
federation,n. 联邦；同盟
surge,v. （人群等）蜂拥而出；波动，涌动 n. （感情等的）洋溢；猛增
physical,a. 身体的，肉体的；物理的，物理学的；物质的，有形的 n. 体检
justify,v. 证明…为正当的；为…辩护
score,v. 得分，记分；给（试卷等）打分，给…评分；刻痕于，画线于；获胜，成功 n. 得分，分数；乐谱；抓痕，划痕；二十
persuade,v. 说服，劝说；使相信
migration,n. 迁徙，移居，移民
overweight,a. 超重的，过重的 n. 超重，过重 vt. 使负担过重
cooperation,n. 合作，协作；配合
zoological,a. 动物学的
stamp,v. 跺（脚），重踏；在…上盖（字样或图案等）；重步走 n. 邮票，印花；印，图章；标志，印记；跺脚，顿足
whistle,v. 吹口哨 n. 口哨；呼啸而过
detective,n. 侦探 a. 侦探的
occupy,vt. 占用，占领；（使）忙碌于；（使）从事
ceremony,n. 典礼；仪式
diagnose,v. 诊断；判断
denote,v. 表示，指示；意味着
chink,n. 裂缝，裂口；一缕光；叮当声 v. （使）发出叮当声
iris,n. （pl. irises或irides）虹；（眼球的）虹膜
resource,n. ［pl.］资源，财力；应付办法，谋略；应变之才
entire,a. 全部的，整个的
epitomise,vt. 集中体现；概括
crocodile,n. 鳄鱼；鳄鱼皮
summit,n. （山等的）最高点，峰顶
ensure,vt. 确保，保证；担保；赋予
odour,n. 气味
accurate,a. 正确无误的；精确的
superior,a. 上级的，（在职位、地位等方面）较高的；优越的，优于…的，较…多的；优良的，卓越的；有优越感的，高傲的 n. 上级，长官
tender,a. 嫩的；脆弱的；温柔的
willing,a. 愿意的，乐意的
perform,v. 履行，执行，完成；表演，演出；（机器）运作
seep,vi. 漏出，渗漏
ambassador,n. 大使，使节
delinquency,n. 失职；行为不良
deliberate,a. 故意的；深思熟虑的；从容不迫的［diˈlibəreit］v.深思熟虑；审议
implication,n. 含意；暗示，暗指；卷入，牵连
broom,n. 扫帚
opponent,n. 敌手，对手；反对者 a. 对立的，对抗的
sponsor,n. 发起者，赞助人，主办者；主顾 vt. 发起，主办；赞助，资助；惠顾
decisive,a. 决定性的；果断的
substantial,a. 可观的，大量的；坚固的，结实的；实质的；大体上的
questionnaire,n. 问卷，调查表
viewpoint,n. 观点，看法
routine,n. 例行公事；惯例 a. 例行的；常规的
nurture,vt. 培养；滋养 n. 营养品
